epoch,train_loss,val_loss,val_log_mse_total,lr,train_Read Latency (ns),val_Read Latency (ns),val_log_mse_Read Latency (ns),train_Write Energy (nJ),val_Write Energy (nJ),val_log_mse_Write Energy (nJ),train_Area (mm^2),val_Area (mm^2),val_log_mse_Area (mm^2),train_Leakage (mW),val_Leakage (mW),val_log_mse_Leakage (mW)
81,0.06892144231023864,0.06924964919346362,0.6236714124679565,0.0008488157605674924,0.15719706,0.1578945,0.35875517,0.086845756,0.087231606,0.20115454,0.01810068,0.018233573,0.03648395,0.013542348,0.013638873,0.027277749
82,0.06891462349749385,0.069309630904429,0.6264581680297852,0.0008449811119959982,0.15717402,0.15790482,0.35941643,0.08684077,0.08741609,0.20319027,0.01810081,0.018225735,0.036467697,0.013543026,0.013691899,0.027383817
83,0.06891485006225298,0.06928619945735985,0.6244369745254517,0.0008411073390933049,0.15717253,0.15790033,0.35978073,0.08682182,0.087221675,0.20058626,0.018109983,0.018265808,0.03655595,0.013555074,0.013757005,0.027514065
84,0.06890425706849317,0.06928452167707122,0.6258925199508667,0.0008371948811842589,0.15715238,0.15789996,0.36025724,0.086818,0.08732397,0.20177242,0.018100273,0.018294323,0.036623172,0.013546265,0.0136198085,0.027239703
85,0.06891024743617875,0.0692636381225856,0.6230121850967407,0.000833244181980976,0.1571686,0.15794243,0.35889307,0.08683078,0.087254696,0.20039019,0.018099839,0.018241193,0.03649635,0.013541852,0.0136162955,0.027232591
86,0.0689134776066409,0.06934952767382496,0.6281207203865051,0.0008292556895325194,0.15717676,0.15807945,0.3607169,0.086829945,0.0874693,0.20367543,0.01810353,0.018213669,0.036456674,0.01354364,0.013635665,0.027271682
87,0.06891940542141771,0.06926101917465591,0.6235666275024414,0.0008252298561740868,0.15719917,0.15787052,0.35884836,0.0868395,0.08721649,0.2007693,0.018099362,0.018278502,0.036591727,0.013539577,0.013678591,0.027357254
88,0.06889973789839791,0.06925734609883984,0.6247377395629883,0.0008211671384757113,0.15715007,0.15795018,0.35984525,0.086816505,0.08730058,0.20130987,0.018096773,0.018205496,0.036436267,0.013535691,0.013573171,0.027146367
89,0.06889948739495647,0.06924008899675287,0.6253761053085327,0.0008170679971904813,0.15713914,0.15786237,0.35973907,0.08682345,0.0872358,0.20187458,0.018098513,0.018285988,0.036609907,0.013536813,0.0135762,0.027152508
90,0.06890014509329166,0.06920719872098925,0.6218420267105103,0.0008129328972022866,0.15716493,0.15783222,0.35808578,0.08680891,0.08723629,0.20021683,0.018093724,0.0181756,0.036369964,0.013533089,0.013584688,0.027169384
91,0.06889666306356743,0.0692820070932395,0.6268758177757263,0.000808762307473096,0.15714619,0.15794131,0.36256322,0.08681648,0.08726726,0.20046134,0.018093145,0.018249562,0.036511354,0.0135307675,0.013669933,0.027339866
92,0.06888879636143944,0.06925305792517959,0.6235678195953369,0.0008045567009897723,0.15714575,0.15791692,0.3589834,0.08680028,0.08719091,0.20074826,0.01808745,0.018292172,0.03661162,0.013521859,0.013612265,0.027224533
